# logM_cut, logM_1, sigma, alpha, kappa, alpha_c, alpha_s, s, A_cen, A_sat, B_cen, B_sat
13.38374,14.22090,-2.75597,0.72099,0.57019,0.56954,0.77214,-0.29804,0.63198,0.18348,-0.64508,0.12035
13.34402,14.02724,-2.57563,1.32796,0.61889,0.35481,1.47422,-0.51821,-0.95025,-0.59221,-0.19745,0.37680
13.23612,14.54704,0.18158,1.07225,0.93822,0.35766,0.69747,0.20433,-0.39254,0.97010,0.08228,0.36028
13.64195,13.71184,-2.76714,1.09175,0.63533,0.12260,1.01491,0.84086,-0.39476,0.02211,-0.08199,-0.47813
12.94102,14.84454,-2.21568,1.16240,0.68107,0.05408,0.72267,0.11435,0.23151,0.76588,-0.20305,-0.75749
12.96533,14.42776,-0.75150,0.45543,0.55433,0.44396,0.86864,-0.70599,-0.89286,-0.90652,-0.46264,-0.16587
13.68703,14.41701,0.19021,1.34361,0.32372,0.27637,1.29685,0.11002,-0.76846,-0.83408,0.10730,0.18226
13.60762,13.98499,-2.75543,1.20981,0.40071,0.60539,1.43411,-0.18664,-0.78822,-0.49566,-0.03769,0.46975
12.65635,15.01324,-0.21815,1.19080,0.98763,0.56405,0.72600,0.99058,-0.96988,0.13130,-0.48938,0.49809
12.51466,14.84244,-2.18977,0.84880,0.50616,0.52753,1.12178,-0.77621,0.91280,0.61836,0.01648,-0.55117
13.35781,13.84137,0.21631,0.37574,0.53563,0.55322,1.16365,-0.27975,0.48319,0.45593,-0.45547,0.16161
13.08127,13.93256,-2.67117,1.04022,0.46069,0.47554,1.06084,0.10928,-0.08750,0.24947,-0.07054,0.10391
12.53497,14.20768,-0.55511,0.78032,0.31361,0.17599,1.22013,0.02806,0.35080,-0.07236,-0.10820,0.12953
13.04443,13.86443,-0.83250,0.44632,0.05161,0.10504,0.79311,-0.46237,-0.62291,0.01505,-0.40436,-0.31394
13.69165,14.80505,-1.39324,1.21578,0.67306,0.14601,1.36704,0.96005,0.37757,0.84248,-0.49163,0.43824
12.75824,13.81345,-2.15861,1.36103,0.36751,0.11309,1.12603,0.56432,-0.79180,-0.02491,-0.20569,0.75696
13.15063,14.08504,-1.77608,0.92103,0.16807,0.53775,0.84247,-0.77632,-0.42838,-0.98950,-0.33644,-0.54865
13.21080,14.39694,-1.01625,0.77506,0.42878,0.53025,1.45364,0.57772,-0.84260,-0.60122,0.09597,-0.30793
