omega_b,omega_cdm,sigma8_m,n_s,alpha_s,N_ur,w0_fld,wa_fld,logM_cut,logM_1,sigma,alpha,kappa,alpha_c,alpha_s,s,A_cen,A_sat,B_cen,B_sat
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,12.52217,14.81614,0.56242,0.5636,0.0136,0.75519,0.49461,0.40389,0.95364,-0.64919,-0.42505,-0.57065
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.40749,14.34004,0.97637,0.82276,0.33145,0.45935,1.61702,-0.75422,-0.12184,-0.24557,0.63095,0.64197
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.01992,13.3423,-3.20683,1.0347,1.10493,0.49995,1.88279,-0.41359,0.32875,0.56329,-0.02361,0.6177
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.06621,14.13894,0.71673,1.17189,0.62491,0.25143,0.964,0.65957,0.11704,-0.45391,0.73672,0.7368
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.78447,13.89831,-1.26527,0.65663,1.30864,0.26522,1.45286,0.88496,-0.77509,-0.4101,0.41443,-0.682
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.70505,14.31986,-2.22841,0.60574,0.09734,0.62091,1.65128,-0.35685,0.36454,-0.39495,-0.75987,-0.65533
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.89871,13.0093,-0.77449,0.68917,0.61348,0.81333,1.20007,0.6017,-0.7655,-0.83544,0.44839,-0.29317
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.15594,13.15781,-2.04,1.25008,1.321,0.1896,1.10867,0.64071,0.56594,-0.16675,0.05272,-0.23855
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,13.80861,13.83839,-1.43421,0.52398,0.87574,0.46008,0.23898,0.92102,0.35282,0.38166,-0.18149,0.38954
0.0226,0.1291,0.85519,0.9876,0.0,2.6868,-1.0,0.0,12.53669,13.15685,-1.17304,1.41499,1.3147,0.60799,1.14749,-0.94256,-0.79044,0.22012,0.06696,0.42266
